sigla,grupo,pdf_diretivo,pdf_entregas,entregas_extraidas,riscos_extraidos,status_entregas,status_riscos
ABIN,,nao,sim,13,0,ok,sem_pdf
AEB,,sim,sim,53,14,ok,ok
AGU,,sim,sim,0,0,sem_dados,no_risk_table
ANA,,sim,sim,48,15,ok,ok
ANAC,,sim,sim,123,5,ok,ok
ANATEL,,sim,sim,55,5,ok,ok
ANCINE,,sim,sim,112,16,ok,ok
ANEEL,,sim,sim,58,11,ok,ok
ANM,,sim,sim,300,20,ok,ok
ANPD,,sim,sim,30,12,ok,ok
ANS,,sim,sim,33,14,ok,ok
ANTAQ,,sim,sim,44,26,ok,ok
ANTT,MT,nao,sim,65,0,ok,sem_pdf
ANVISA,,sim,sim,348,0,ok,no_risk_table
BCB,,sim,sim,72,5,ok,ok
CADE,,sim,sim,40,5,ok,ok
CAPES,MEC,sim,sim,128,6,ok,ok
CENSIPAM,MD,sim,sim,86,28,ok,ok
CEX,MD,sim,sim,0,0,compartilhado,compartilhado
CGU,,sim,sim,21,10,ok,ok
CM,MD,sim,sim,0,0,compartilhado,compartilhado
CNPQ,,sim,sim,19,9,ok,ok
COAF,,sim,sim,18,12,ok,ok
CODEVASF,MIDR,sim,sim,0,20,sem_dados,ok
COMAER,MD,sim,sim,0,0,compartilhado,compartilhado
CONAB,MDA,sim,sim,7,5,ok,ok
CVM,,sim,sim,20,4,ok,ok
DNIT,MT,nao,sim,0,0,compartilhado,sem_pdf
DNOCS,,sim,sim,59,20,ok,ok
EBSERH,MEC,sim,sim,0,0,compartilhado,compartilhado
FBN,,sim,sim,42,0,ok,no_risk_table
FCP,,sim,sim,20,0,ok,no_risk_table
FCRB,,sim,sim,37,15,ok,ok
FIOCRUZ,,sim,sim,60,6,ok,ok
FNDE,MEC,sim,sim,0,0,compartilhado,compartilhado
FOSORIO,MD,sim,sim,0,0,compartilhado,compartilhado
FUNAI,,sim,sim,0,0,sem_dados,no_risk_table
FUNARTE,,sim,sim,44,9,ok,ok
FUNDACENTRO,,sim,sim,0,2,sem_dados,ok
FUNDAJ,MEC,sim,sim,0,0,compartilhado,compartilhado
HFA,MD,sim,sim,0,0,compartilhado,compartilhado
IBAMA,MMA,sim,sim,310,28,ok,ok
IBC,MEC,sim,sim,0,0,compartilhado,compartilhado
IBGE,,sim,sim,26,19,ok,ok
ICMBIO,MMA,sim,sim,0,0,compartilhado,compartilhado
INCRA,,sim,sim,0,0,sem_dados,no_risk_table
INEP,MEC,sim,sim,0,0,compartilhado,compartilhado
INES,MEC,sim,sim,0,0,compartilhado,compartilhado
INPI,,sim,sim,100,3,ok,ok
INSS,,sim,sim,63,20,ok,ok
IPHAN,,sim,sim,71,14,ok,ok
ITI,,sim,sim,0,0,sem_dados,no_risk_table
JBRJ,MMA,sim,sim,0,0,compartilhado,compartilhado
MAPA,,sim,sim,150,0,ok,no_risk_table
MCOM,,sim,sim,0,0,sem_dados,no_risk_table
MCTI,,sim,sim,44,15,ok,ok
MD,,sim,sim,0,0,compartilhado,compartilhado
MDA,,sim,sim,0,0,compartilhado,compartilhado
MDHC,,sim,sim,88,17,ok,ok
MDIC,,nao,sim,70,0,ok,sem_pdf
MEC,,sim,sim,0,0,compartilhado,compartilhado
MEMP,,sim,sim,46,10,ok,ok
MESP,,sim,sim,34,6,ok,ok
MF,,sim,sim,32,7,ok,ok
MGI,,sim,sim,207,29,ok,ok
MIDR,,sim,sim,0,0,sem_dados,compartilhado
MINC,,sim,sim,95,11,ok,ok
MJSP,,sim,sim,107,11,ok,ok
MMA,,sim,sim,0,0,compartilhado,compartilhado
MME,,sim,sim,61,8,ok,ok
MMULHERES,,sim,sim,20,18,ok,ok
MPI,,sim,sim,43,5,ok,ok
MPO,,sim,sim,20,9,ok,ok
MPOR,,sim,sim,57,17,ok,ok
MPS,,sim,sim,47,5,ok,ok
MRE,,sim,sim,85,10,ok,ok
MT,,nao,sim,0,0,compartilhado,sem_pdf
MTE,,sim,sim,38,6,ok,ok
MTUR,,sim,sim,110,5,ok,ok
PF,,sim,sim,160,17,ok,ok
PGFN,MF,sim,sim,253,0,ok,compartilhado
PREVIC,,sim,sim,106,0,ok,no_risk_table
PRF,,sim,sim,164,15,ok,ok
RFB,MF,sim,sim,0,0,compartilhado,compartilhado
SFB,MMA,sim,sim,0,0,compartilhado,compartilhado
SGPR,,sim,sim,0,11,sem_dados,ok
STN,MF,sim,sim,0,0,compartilhado,compartilhado
SUDAM,MIDR,sim,sim,0,0,sem_dados,compartilhado
SUDECO,MIDR,sim,sim,0,0,sem_dados,compartilhado
SUDENE,MIDR,sim,sim,0,0,sem_dados,compartilhado
SUSEP,,sim,sim,12,9,ok,ok
